primary_fuel,ORIS code,Plant Name,physical_state,Unit Number,boiler_id,Unit Type,boiler_type,MWe_capacity_MW,max_heat_input_MMBtu/hr,Boiler_Heat_Rate_Mmbtu/MWh,Fuel_types,Fuel_Conc_lb/MMBtu,Mercury - ERT_lb/MMBtu,Mercury MW - ERT_lb/MW,Mercury - ETTS_lb_MMBtu,Mercury MW - ETTS_lb/MW,Mercury - CEMS_lb_MMBtu,Mercury - Part II_lb_MMBtu,Mercury MW - Part II_lb/MW,Mercury_min_lb_MMBtu,Mercury _min lb_MW,control_group_1,control_type_1,install_date_1,control_group_2,control_type_2,install_date_2,control_group_3,control_type_3,install_date_3,control_group_4,control_type_4,install_date_4,control_group_5,control_type_5,install_date_5,control_group_6,control_type_6,install_date_6,control_group_7,control_type_7,install_date_7,control_group_8,control_type_8,install_date_8,control_group_9,control_type_9,install_date_9,control_group_10,control_type_10,install_date_10,control_group_11,control_type_11,install_date_11,control_group_12,control_type_12,install_date_12
coal,6041,H L Spurlock Station,KY,Unit 01,1,Conventional Boiler,Wall firing - opposed firing,344,3641,10.58430233,coal - bituminous,8.44E-06,,,0.000000522,5.53E-06,,,,0.000000522,5.53E-06,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-May-03,NOx control,Selective Catalytic Reduction,1-May-03,SO2 control,Wet FGD - Unspecified,1-Apr-09,Other control,Wet electrostatic precipitator,1-Apr-09,,,,,,,,,,,,,,,,,,,,,,,,
coal,4140,Alma,WI,B4,B4,Conventional Boiler,Wall firing - unspecified,53.63,557.2,10.38970725,"coal - bituminous, subbituminous",,,,,,,5.55E-07,5.77E-06,5.55E-07,5.77E-06,NOx control,Selective Noncatalytic Reduction,,PM control,"Electrostatic precipitator, cold side, unspecified",1-Jun-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,988,Tanners Creek,IN,TC-4,4,Conventional Boiler,Cyclone firing,579.7,4990,8.607900638,"coal - subbituminous, bituminous",6.46E-06,,,6.76E-07,5.82E-06,,,,6.76E-07,5.82E-06,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Nov-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,2718,G G Allen,NC,Mar-09,ES-3,Conventional Boiler,Tangential firing,281.5,2228,7.914742451,coal - bituminous,1.02E-05,,,7.38E-07,5.84E-06,,,,7.38E-07,5.84E-06,NOx control,Selective Noncatalytic Reduction,1-May-05,PM control,"Electrostatic precipitator, cold side, w/ flue gas conditioning",1-Jun-02,SO2 control,Wet FGD - Spray Type,1-May-09,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,2718,G G Allen,NC,Apr-09,ES-4,Conventional Boiler,Tangential firing,297.3,2380,8.005381769,coal - bituminous,1.02E-05,,,7.38E-07,5.91E-06,,,,7.38E-07,5.91E-06,NOx control,Selective Noncatalytic Reduction,1-Jun-06,PM control,"Electrostatic precipitator, cold side, w/ flue gas conditioning",1-Feb-99,SO2 control,Wet FGD - Spray Type,1-Apr-09,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,3251,HB Robinson / Darlington Electric Power Plant,SC,Rob_Cfg_1,1,Conventional Boiler,Tangential firing,187,1733,9.267379679,coal - bituminous,5.38E-06,,,0.00000066,6.12E-06,,,,0.00000066,6.12E-06,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jul-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,1710,Consumers Energy - J.H. Campbell,MI,JHC2-Conf,Unit 2,Conventional Boiler,Wall firing - front firing,374,3392,9.069518717,"coal - subbituminous, bituminous",6.50E-06,6.88E-07,6.24E-06,,,,,,6.88E-07,6.24E-06,PM control,"Electrostatic precipitator, cold side, w/ flue gas conditioning",1-Dec-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,6018,East Bend Station,KY,2,2,Conventional Boiler,Wall firing - front firing,650.7246377,6313,9.701492205,coal - bituminous,8.36E-06,,,6.51E-07,6.31E-06,,,,6.51E-07,6.31E-06,Other control,Dry sorbent injection,1-Jan-05,PM control,"Electrostatic precipitator, hot side, w/ flue gas conditioning",1-Jan-81,NOx control,Selective Catalytic Reduction,1-Jan-02,SO2 control,Wet FGD - Spray Type,1-Jan-81,,,,,,,,,,,,,,,,,,,,,,,,
coal,1710,Consumers Energy - J.H. Campbell,MI,JHC1-Conf,Unit 1,Conventional Boiler,Tangential firing,274,2561,9.346715328,coal - subbituminous,8.86E-06,6.88E-07,6.43E-06,,,,,,6.88E-07,6.43E-06,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jul-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,3946,Willow Island,WV,Unit 1,1,Conventional Boiler,Vertical firing,58,436,7.517241379,coal - bituminous,,,,,,,8.59E-07,6.46E-06,8.59E-07,6.46E-06,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jun-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,1082,Walter Scott Jr. Energy Center,IA,4,4,Conventional Boiler,Wall firing - unspecified,850,7675,9.029411765,coal - subbituminous,8.15E-06,2.94E-06,2.65E-05,,,,0.00000072,6.50E-06,0.00000072,6.50E-06,NOx control,Selective Catalytic Reduction,1-Feb-07,Other control,Activated carbon injection,1-Feb-07,SO2 control,Dry FGD - Circulating Dry Scrubber,1-Feb-07,PM control,"Fabric Filter, pulse",1-Feb-07,,,,,,,,,,,,,,,,,,,,,,,,
coal,8223,Springerville,AZ,4,4,Conventional Boiler,Wall firing - opposed firing,450,4200,9.333333333,coal - bituminous,6.02E-06,,,3.58E-06,3.34E-05,,0.0000007,6.53E-06,0.0000007,6.53E-06,NOx control,Selective Catalytic Reduction,1-Dec-09,SO2 control,Dry FGD - Spray Dryer,1-Dec-09,PM control,"Fabric Filter, pulse",1-Dec-09,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,47,Colbert,AL,3,3,Conventional Boiler,Wall firing - front firing,200,2121,10.605,"coal - subbituminous, bituminous",2.05E-06,,,6.44E-07,6.83E-06,,,,6.44E-07,6.83E-06,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-May-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,2098,Lake Road,MO,6,6,Conventional Boiler,Cyclone firing,99,980,9.898989899,"coal - subbituminous, bituminous",4.30E-06,,,1.47E-06,1.46E-05,,0.000000707,7.00E-06,0.000000707,7.00E-06,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jul-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,2480,Danskammer Generating Station,NY,3,3,Conventional Boiler,Tangential firing,144.9,1365,9.420289855,coal - bituminous,,,,,,,7.53E-07,7.10E-06,7.53E-07,7.10E-06,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Sep-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,470,Comanche,CO,Unit 1,1,Conventional Boiler,Tangential firing,360,3531,9.808333333,coal - subbituminous,,,,,,,7.35E-07,7.21E-06,7.35E-07,7.21E-06,Other control,Activated carbon injection,,SO2 control,Dry FGD - Spray Dryer,1-Dec-08,PM control,"Fabric Filter, reverse air",1-Nov-90,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,884,Will County,IL,WC4CONFIG,4,Conventional Boiler,Tangential firing,542,5254.53,9.694704797,coal - subbituminous,8.00E-06,,,1.07E-06,1.04E-05,,7.50E-07,7.27E-06,7.50E-07,7.27E-06,Other control,Activated carbon injection,1-Jul-09,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jun-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,87,Escalante,NM,1,1,Conventional Boiler,Tangential firing,260,2366,9.1,coal - subbituminous,,,,,,,8.06E-07,7.33E-06,8.06E-07,7.33E-06,PM control,"Fabric Filter, reverse air",1-Jan-84,SO2 control,Wet FGD - Spray Type,1-Jan-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,56224,TS Power Plant,NV,TSPower,BLR100,Conventional Boiler,Wall firing - opposed firing,242,2112,8.727272727,coal - subbituminous,7.52E-06,9.03E-07,7.88E-06,0.00000126,1.10E-05,,8.67E-07,7.57E-06,8.67E-07,7.57E-06,NOx control,Selective Catalytic Reduction,1-Mar-08,Other control,Activated carbon injection,1-Mar-08,SO2 control,Dry FGD - Spray Dryer,1-Mar-08,PM control,"Fabric Filter, pulse",1-Jan-08,,,,,,,,,,,,,,,,,,,,,,,,
coal,2554,Dunkirk Generating Plant,NY,4,4,Conventional Boiler,Tangential firing,195,1836,9.415384615,coal - subbituminous,8.89E-06,,,8.05E-07,7.58E-06,,,,8.05E-07,7.58E-06,NOx control,Selective Noncatalytic Reduction,,Other control,Dry sorbent injection,,PM control,"Fabric Filter, unspecified",1-May-09,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,6085,R.M. Schahfer,IN,R.M.0014,14,Conventional Boiler,Cyclone firing,468,4650,9.935897436,coal - subbituminous,5.97E-06,,,7.97E-07,7.92E-06,,,,7.97E-07,7.92E-06,NOx control,Selective Catalytic Reduction,1-May-04,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jun-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,4078,Weston,WI,W4,4,Conventional Boiler,Wall firing - opposed firing,574.5,5173.07,9.004473455,coal - subbituminous,7.04E-06,,,1.08E-06,9.69E-06,,8.93E-07,8.04E-06,8.93E-07,8.04E-06,NOx control,Selective Catalytic Reduction,1-Jul-08,Other control,Activated carbon injection,1-Jul-08,SO2 control,Dry FGD - Spray Dryer,1-Jul-08,PM control,"Fabric Filter, pulse",1-Jul-08,,,,,,,,,,,,,,,,,,,,,,,,
coal,874,Joliet 9,IL,JOL5 CONFIG,5,Conventional Boiler,Cyclone firing,326,3572.378,10.95821472,coal - subbituminous,6.75E-06,,,0.000001029,1.13E-05,,7.53E-07,0.00000825,7.53E-07,8.25E-06,Other control,Activated carbon injection,1-Jul-09,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Mar-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,6113,Gibson,IN,2-2007-FGDIN,2,Conventional Boiler,Wall firing - opposed firing,661,6444,9.748865356,coal - bituminous,7.92E-06,,,8.46E-07,8.25E-06,,,,8.46E-07,8.25E-06,NOx control,Selective Catalytic Reduction,1-Dec-01,Other control,Other (specify): Soda Ash Injection for SO3 mitigation,1-Jun-04,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jan-91,SO2 control,Wet FGD - Tray Type,1-May-07,,,,,,,,,,,,,,,,,,,,,,,,
coal,6113,Gibson,IN,1-2007-FGDIN,1,Conventional Boiler,Wall firing - opposed firing,661,6368,9.633888048,coal - bituminous,7.80E-06,,,8.83E-07,8.51E-06,,,,8.83E-07,8.51E-06,NOx control,Selective Catalytic Reduction,1-Apr-05,Other control,Other (specify): Soda Ash Injection for SO3 mitigation,1-Jun-04,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jan-90,SO2 control,Wet FGD - Tray Type,1-Oct-07,,,,,,,,,,,,,,,,,,,,,,,,
coal,990,Harding Street,IN,70ss,70,Conventional Boiler,Tangential firing,463,4123,8.904967603,coal - bituminous,5.19E-06,,,9.89E-07,8.80E-06,,,,9.89E-07,8.80E-06,NOx control,Selective Catalytic Reduction,1-Dec-05,PM control,"Electrostatic precipitator, cold side, w/ flue gas conditioning",1-Dec-78,SO2 control,Wet FGD - Spray Type,1-Dec-07,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,641,Crist,FL,Unit 5,5,Conventional Boiler,Tangential firing,82,817.83,9.973536585,coal - bituminous,7.25E-06,,,8.91E-07,8.88E-06,,,,8.91E-07,8.88E-06,NOx control,Selective Noncatalytic Reduction,1-Apr-06,PM control,"Electrostatic precipitator, hot side, w/ flue gas conditioning",1-Mar-08,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jan-76,SO2 control,Wet FGD - Spray Type,1-Dec-09,,,,,,,,,,,,,,,,,,,,,,,,
coal,641,Crist,FL,Unit 6,6,Conventional Boiler,Wall firing - front firing,320,3193.348,9.9792125,coal - bituminous,7.25E-06,,,8.91E-07,8.89E-06,,,,8.91E-07,8.89E-06,NOx control,Selective Noncatalytic Reduction,1-Nov-05,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jan-94,SO2 control,Wet FGD - Spray Type,1-Dec-09,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,2535,"AES Cayuga, LLC",NY,Unit_2,2,Conventional Boiler,Tangential firing,168,1450,8.630952381,coal - bituminous,,,,,,,0.00000103,8.89E-06,0.00000103,8.89E-06,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",,SO2 control,Wet FGD - Spray Type,1-Jan-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,4078,Weston,WI,W3,3,Conventional Boiler,Tangential firing,365.6,3423.48,9.364004376,coal - subbituminous,6.33E-06,,,9.91E-07,9.28E-06,,7.38E-06,6.91E-05,9.91E-07,9.28E-06,PM control,"Fabric Filter, pulse",1-May-01,Other control,Activated carbon injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,641,Crist,FL,Unit 7,7,Conventional Boiler,Wall firing - front firing,500,5279.792,10.559584,coal - bituminous,7.25E-06,,,8.91E-07,9.41E-06,,,,8.91E-07,9.41E-06,NOx control,Selective Catalytic Reduction,1-Apr-05,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Apr-04,SO2 control,Wet FGD - Spray Type,1-Dec-09,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,641,Crist,FL,Unit 4,4,Conventional Boiler,Tangential firing,82,868.842,10.59563415,coal - bituminous,7.25E-06,,,8.91E-07,9.44E-06,,,,8.91E-07,9.44E-06,NOx control,Selective Noncatalytic Reduction,1-Apr-06,PM control,"Electrostatic precipitator, hot side, w/o flue gas conditioning",1-Mar-08,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jan-76,SO2 control,Wet FGD - Spray Type,1-Dec-09,,,,,,,,,,,,,,,,,,,,,,,,
coal,136,Seminole Generating Station,FL,Unit 1,1,Conventional Boiler,Wall firing - opposed firing,694,7172,10.33429395,coal - bituminous,,,,,,,9.33E-07,9.65E-06,9.33E-07,9.65E-06,NOx control,Selective Catalytic Reduction,1-Feb-09,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jan-84,Other control,Dry sorbent injection,1-Feb-09,SO2 control,Wet FGD - Spray Type,1-Jan-84,,,,,,,,,,,,,,,,,,,,,,,,
coal,55749,Hardin Generator Project,MT,PC1,PC1,Conventional Boiler,Wall firing - unspecified,119,1304,10.95798319,coal - bituminous,2.63E-06,,,,,8.83E-07,,,8.83E-07,9.68E-06,NOx control,Selective Catalytic Reduction,1-Apr-06,Other control,Activated carbon injection,,SO2 control,Dry FGD - Spray Dryer,1-Apr-06,PM control,"Fabric Filter, pulse",1-Apr-06,,,,,,,,,,,,,,,,,,,,,,,,
coal,6076,Colstrip,MT,Unit3,3,Conventional Boiler,Tangential firing,805,7573,9.407453416,coal - subbituminous,3.36E-06,,,1.05E-06,9.88E-06,,,,1.05E-06,9.88E-06,Other control,Activated carbon injection,1-Dec-09,SO2 control,Wet FGD - Venturi Type,1-Jan-84,PM control,PM scrubber - Venturi,1-Jan-84,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,10151,Grant Town Power Plant,WV,GEN1,BLR1B,Fluidized bed firing,Fluidized bed firing,47.5,675,14.21052632,coal refuse (culm or gob),3.07E-05,,,7.12E-07,1.01E-05,,,,7.12E-07,1.01E-05,NOx control,Selective Noncatalytic Reduction,1-May-05,NOx control,Selective Noncatalytic Reduction,1-May-05,SO2 control,Dry FGD - Circulating Dry Scrubber,1-Jul-92,SO2 control,Dry FGD - Circulating Dry Scrubber,1-Jul-92,PM control,"Fabric Filter, pulse",1-Jul-92,PM control,"Fabric Filter, pulse",1-May-05,,,,,,,,,,,,,,,,,,
coal,10151,Grant Town Power Plant,WV,GEN1,BLR1A,Fluidized bed firing,Fluidized bed firing,47.5,675,14.21052632,coal refuse (culm or gob),3.07E-05,,,7.12E-07,1.01E-05,,,,7.12E-07,1.01E-05,NOx control,Selective Noncatalytic Reduction,1-May-05,NOx control,Selective Noncatalytic Reduction,1-May-05,SO2 control,Dry FGD - Circulating Dry Scrubber,1-Jul-92,SO2 control,Dry FGD - Circulating Dry Scrubber,1-Jul-92,PM control,"Fabric Filter, pulse",1-Jul-92,PM control,"Fabric Filter, pulse",1-May-05,,,,,,,,,,,,,,,,,,
coal,6019,W H Zimmer,OH,1,1,Conventional Boiler,Wall firing - opposed firing,1408,12656,8.988636364,coal - bituminous,9.06E-06,,,1.15E-06,1.04E-05,,,,1.15E-06,1.04E-05,Other control,Other (specify): Magnesium Hydroxide Injection,,NOx control,Selective Catalytic Reduction,1-Jan-04,Other control,Dry sorbent injection,1-May-04,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Mar-91,SO2 control,Wet FGD - Spray Type,1-Jun-04,,,,,,,,,,,,,,,,,,,,,
coal,136,Seminole Generating Station,FL,Unit 2,2,Conventional Boiler,Wall firing - opposed firing,694,7172,10.33429395,coal - bituminous,,,,,,,1.01E-06,1.05E-05,1.01E-06,1.05E-05,NOx control,Selective Catalytic Reduction,1-Apr-09,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Dec-84,Other control,Dry sorbent injection,1-Apr-09,SO2 control,Wet FGD - Spray Type,1-Dec-84,,,,,,,,,,,,,,,,,,,,,,,,
coal,3297,Wateree,SC,WAT001,WAT1,Conventional Boiler,Wall firing - unspecified,383,3329.7,8.693733681,coal - bituminous,,,,,,,0.00000123,1.07E-05,0.00000123,1.07E-05,NOx control,Selective Catalytic Reduction,1-Jun-03,PM control,"Fabric Filter, unspecified",1-May-01,SO2 control,Wet FGD - Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,963,Dallman,IL,33,33,Conventional Boiler,Tangential firing,208,2089.8,10.04711538,coal - bituminous,,,,,,,1.06E-06,0.0000107,1.06E-06,1.07E-05,NOx control,Selective Catalytic Reduction,1-May-03,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jun-78,SO2 control,Wet FGD - Spray Type,1-Jan-80,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,2554,Dunkirk Generating Plant,NY,1,1,Conventional Boiler,Tangential firing,85,922.2,10.84941176,coal - subbituminous,6.31E-06,,,1.01E-06,1.09E-05,,,,1.01E-06,1.09E-05,NOx control,Selective Noncatalytic Reduction,,Other control,Dry sorbent injection,,PM control,"Fabric Filter, unspecified",1-Dec-09,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,8223,Springerville,AZ,1,1,Conventional Boiler,Tangential firing,427,3830,8.969555035,coal - subbituminous,,,,,,,1.23E-06,1.11E-05,1.23E-06,1.11E-05,SO2 control,Dry FGD - Spray Dryer,1-Jun-85,PM control,"Fabric Filter, reverse air",1-Jun-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,8224,North Valmy,NV,1,1,Conventional Boiler,Wall firing - opposed firing,243.5,2560,10.51334702,"coal - subbituminous, bituminous",,,,,,,0.00000107,1.12E-05,0.00000107,1.12E-05,PM control,"Fabric Filter, reverse air",1-Dec-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,728,Yates,GA,Y6BR,Y6BR,Conventional Boiler,Tangential firing,363,3492.896,9.62230303,coal - bituminous,,,,,,,1.17E-06,1.13E-05,1.17E-06,1.13E-05,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jul-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,3140,PPL Brunner Island,PA,U2,2,Conventional Boiler,Tangential firing,393,3790,9.643765903,coal - bituminous,9.10E-06,1.18E-06,1.13E-05,,,,,,1.18E-06,1.13E-05,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Oct-09,SO2 control,Wet FGD - Tray Type,1-Nov-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,3098,Elrama Power Plant,PA,ELR4-2,4,Conventional Boiler,Wall firing - front firing,185,1921,10.38378378,coal - bituminous,9.28E-06,1.11E-06,1.16E-05,,,,1.54E-06,1.60E-05,1.11E-06,1.16E-05,NOx control,Selective Noncatalytic Reduction,1-Jul-01,PM control,Multiple cyclone,1-Nov-60,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Nov-60,SO2 control,Wet FGD - Venturi Type,1-Jun-75,,,,,,,,,,,,,,,,,,,,,,,,
coal,3098,Elrama Power Plant,PA,ELR3-2,3,Conventional Boiler,Vertical firing,125,1303,10.424,coal - bituminous,9.28E-06,1.11E-06,1.16E-05,,,,1.54E-06,1.61E-05,1.11E-06,1.16E-05,NOx control,Selective Noncatalytic Reduction,1-Jul-01,PM control,Multiple cyclone,1-Nov-54,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Nov-54,SO2 control,Wet FGD - Venturi Type,1-Jun-75,,,,,,,,,,,,,,,,,,,,,,,,
coal,1047,Lansing,IA,Unit 3,3,Conventional Boiler,Wall firing - front firing,31.9,452.9,14.19749216,coal - subbituminous,,,,,,,0.000000837,1.19E-05,0.000000837,1.19E-05,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jun-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,2706,Asheville Steam Electric Plant,NC,Ash_Cfg_2,2,Conventional Boiler,Wall firing - front firing,204,1902,9.323529412,coal - bituminous,5.46E-06,,,1.28E-06,1.19E-05,,,,1.28E-06,1.19E-05,NOx control,Selective Catalytic Reduction,14-Jun-06,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-May-71,SO2 control,Wet FGD - Spray/Tray Type,15-May-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,3140,PPL Brunner Island,PA,U1,1,Conventional Boiler,Tangential firing,330,3345,10.13636364,coal - bituminous,9.10E-06,1.18E-06,1.19E-05,,,,,,1.18E-06,1.19E-05,PM control,"Fabric Filter, pulse",1-Jan-65,SO2 control,Wet FGD - Tray Type,1-Nov-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,3161,Eddystone Generating Station,PA,Unit 2,2,Conventional Boiler,Tangential firing,339,2808,8.283185841,coal - bituminous,5.35E-06,,,1.46E-06,1.21E-05,,,,1.46E-06,1.21E-05,NOx control,Selective Noncatalytic Reduction,1-Jun-03,PM control,Multiple cyclone,1-Nov-60,PM control,"Electrostatic precipitator, hot side, w/o flue gas conditioning",1-Nov-60,PM control,PM scrubber - Venturi,1-Dec-82,SO2 control,Wet FGD - Spray Type,1-Dec-82,,,,,,,,,,,,,,,,,,,,,
coal,2094,Sibley,MO,3,3,Conventional Boiler,Cyclone firing,419,4094.1,9.771121718,"coal - subbituminous, bituminous",6.94E-06,,,1.30E-06,1.27E-05,,,,1.30E-06,1.27E-05,NOx control,Selective Catalytic Reduction,1-Jan-09,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Apr-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,68029,AES Puerto Rico Cogeneration Facility,PR,Unit_1,BLR1,Fluidized bed firing,Fluidized bed firing,255,2461.4,9.65254902,coal - bituminous,5.63E-06,,,0.00000133,1.28E-05,,,,0.00000133,1.28E-05,NOx control,Selective Noncatalytic Reduction,,SO2 control,Dry FGD - Spray Dryer,,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,2837,Eastlake,OH,Unit 3,3,Conventional Boiler,Tangential firing,144,1205,8.368055556,"coal - subbituminous, bituminous",1.31E-05,,,0.00000157,1.31E-05,,,,0.00000157,1.31E-05,NOx control,Selective Noncatalytic Reduction,1-Oct-99,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jan-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,10743,Morgantown Energy Facility,WV,Unit 1&2,CFB2,Fluidized bed firing,Fluidized bed firing,29,453,15.62068966,coal - bituminous,1.45E-05,,,0.000000858,1.35E-05,,,,0.000000858,1.34E-05,PM control,"Fabric Filter, pulse",1-Jan-92,PM control,"Fabric Filter, pulse",1-Jan-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,6016,Duck Creek,IL,001,1,Conventional Boiler,Wall firing - unspecified,400,4500,11.25,coal - subbituminous,4.00E-06,,,3.08E-06,3.47E-05,,0.0000012,0.0000135,0.0000012,1.35E-05,NOx control,Selective Catalytic Reduction,1-Jun-03,PM control,"Electrostatic precipitator, cold side, unspecified",1-Mar-09,SO2 control,Wet FGD - Venturi Type,1-Mar-09,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,2107,Sioux,MO,002,2,Conventional Boiler,Cyclone firing,524,4920,9.389312977,"coal - subbituminous, bituminous",4.55E-06,,,0.00000144,1.35E-05,,,,0.00000144,1.35E-05,NOx control,Selective Noncatalytic Reduction,1-May-07,PM control,"Electrostatic precipitator, cold side, w/ flue gas conditioning",1-Dec-97,SO2 control,Wet FGD - Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,10743,Morgantown Energy Facility,WV,Unit 1&2,CFB1,Fluidized bed firing,Fluidized bed firing,29,457,15.75862069,coal - bituminous,1.45E-05,,,0.000000858,1.35E-05,,,,0.000000858,1.35E-05,PM control,"Fabric Filter, pulse",1-Jan-92,PM control,"Fabric Filter, pulse",1-Jan-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,642,Scholz,FL,Unit 1,1,Conventional Boiler,Wall firing - front firing,49,581.091,11.859,coal - bituminous,5.46E-06,,,1.15E-06,1.37E-05,,,,1.15E-06,1.37E-05,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jan-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,3098,Elrama Power Plant,PA,ELR1-2,1,Conventional Boiler,Vertical firing,100,1254,12.54,coal - bituminous,9.28E-06,1.11E-06,1.40E-05,,,,1.54E-06,1.94E-05,1.11E-06,1.40E-05,NOx control,Selective Noncatalytic Reduction,1-Jul-01,PM control,Multiple cyclone,1-Jun-52,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jun-52,SO2 control,Wet FGD - Venturi Type,1-Jun-75,,,,,,,,,,,,,,,,,,,,,,,,
coal,3098,Elrama Power Plant,PA,ELR2-2,2,Conventional Boiler,Vertical firing,100,1254,12.54,coal - bituminous,9.28E-06,1.11E-06,1.40E-05,,,,1.54E-06,1.94E-05,1.11E-06,1.40E-05,NOx control,Selective Noncatalytic Reduction,1-Jul-01,PM control,Multiple cyclone,1-Mar-53,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Mar-53,SO2 control,Wet FGD - Venturi Type,1-Jun-75,,,,,,,,,,,,,,,,,,,,,,,,
coal,2403,PSEG Hudson Generating Station,NJ,HUDU2E2PT2OS1-Coal,U2,Conventional Boiler,Wall firing - opposed firing,659.7,6600,10.00454752,coal - subbituminous,,,,,,,1.42E-06,1.42E-05,1.42E-06,1.42E-05,NOx control,Selective Noncatalytic Reduction,1-Mar-99,PM control,"Electrostatic precipitator, cold side, w/ flue gas conditioning",1-Dec-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
